Month,Yield,Unemployment,Change in RPI,,
 Apr-1998,5.70,6.30,1.8,,
 May-1998,5.57,6.30,0.9,,
 Jun-1998,5.64,6.30,-0.1,,
 Jul-1998,5.57,6.30,-0.4,,
 Aug-1998,5.19,6.20,0.7,,
 Sep-1998,4.80,6.20,0.7,,
 Oct-1998,4.96,6.20,0.1,,
 Nov-1998,4.59,6.10,-0.1,,
 Dec-1998,4.30,6.20,0,,
 Jan-1999,4.24,6.20,-1,,
 Feb-1999,4.39,6.20,0.3,,
 Mar-1999,4.60,6.20,0.4,,
 Apr-1999,4.49,6.10,1.1,,
 May-1999,4.77,6.00,0.4,,
 Jun-1999,5.03,6.00,0,,
 Jul-1999,5.20,5.90,-0.5,,
 Aug-1999,5.25,5.90,0.4,,
 Sep-1999,5.52,5.80,0.7,,
 Oct-1999,5.70,5.80,0.3,,
 Nov-1999,5.16,5.80,0.2,,
 Dec-1999,5.28,5.90,0.6,,
 Jan-2000,5.74,5.80,-0.7,,
 Feb-2000,5.55,5.80,0.9,,
 Mar-2000,5.27,5.70,0.9,,
 Apr-2000,5.23,5.60,1.7,,
 May-2000,5.35,5.50,0.6,,
 Jun-2000,5.14,5.30,0.4,,
 Jul-2000,5.17,5.30,-0.6,,
 Aug-2000,5.25,5.30,0,,
 Sep-2000,5.31,5.40,1.2,,
 Oct-2000,5.14,5.30,-0.1,,
 Nov-2000,5.05,5.20,0.5,,
 Dec-2000,4.89,5.20,0.1,,
 Jan-2001,4.88,5.20,-1.1,,
 Feb-2001,4.89,5.10,0.9,,
 Mar-2001,4.77,5.00,0.2,,
 Apr-2001,4.90,4.90,0.9,,
 May-2001,5.06,5.00,1.1,,
 Jun-2001,5.13,5.00,0.2,,
 Jul-2001,5.13,5.10,-1.1,,
 Aug-2001,4.90,5.10,0.7,,
 Sep-2001,4.91,5.10,0.6,,
 Oct-2001,4.76,5.10,-0.3,,
 Nov-2001,4.58,5.20,-0.7,,
 Dec-2001,4.85,5.20,-0.2,,
 Jan-2002,4.90,5.10,-0.1,,
 Feb-2002,4.93,5.20,0.5,,
 Mar-2002,5.22,5.20,0.7,,
 Apr-2002,5.21,5.20,1.2,,
 May-2002,5.25,5.20,0.5,,
 Jun-2002,5.07,5.20,0,,
 Jul-2002,4.95,5.20,-0.3,,
 Aug-2002,4.66,5.30,0.5,,
 Sep-2002,4.45,5.20,1.2,,
 Oct-2002,4.57,5.20,0.3,,
 Nov-2002,4.59,5.10,0.3,,
 Dec-2002,4.53,5.00,0.3,,
 Jan-2003,4.37,5.10,-0.1,,
 Feb-2003,4.20,5.20,0.9,,
 Mar-2003,4.27,5.10,0.6,,
 Apr-2003,4.41,5.00,1.3,,
 May-2003,4.15,4.90,0.3,,
 Jun-2003,4.02,5.10,-0.2,,
 Jul-2003,4.43,5.10,0,,
 Aug-2003,4.59,5.00,0.3,,
 Sep-2003,4.69,5.00,0.9,,
 Oct-2003,4.90,4.90,0.1,,
 Nov-2003,5.04,4.90,0.1,,
 Dec-2003,4.88,4.80,0.8,,
 Jan-2004,4.78,4.80,-0.4,,
 Feb-2004,4.81,4.80,0.7,,
 Mar-2004,4.70,4.80,0.8,,
 Apr-2004,4.94,4.80,1.1,,
 May-2004,5.09,4.80,0.8,,
 Jun-2004,5.18,4.80,0.3,,
 Jul-2004,5.08,4.70,0,,
 Aug-2004,4.97,4.70,0.6,,
 Sep-2004,4.90,4.70,0.7,,
 Oct-2004,4.76,4.70,0.5,,
 Nov-2004,4.68,4.70,0.4,,
 Dec-2004,4.53,4.70,0.9,,
 Jan-2005,4.55,4.80,-1,,
 Feb-2005,4.61,4.70,0.7,,
 Mar-2005,4.81,4.70,0.9,,
 Apr-2005,4.62,4.80,1.1,,
 May-2005,4.41,4.80,0.4,,
 Jun-2005,4.27,4.70,0.2,,
 Jul-2005,4.29,4.70,0,,
 Aug-2005,4.30,4.70,0.4,,
 Sep-2005,4.21,4.90,0.5,,
 Oct-2005,4.34,5.10,0.2,,
 Nov-2005,4.32,5.10,0.3,,
 Dec-2005,4.22,5.10,0.5,,
 Jan-2006,4.08,5.20,-0.7,,
 Feb-2006,4.17,5.20,0.8,,
 Mar-2006,4.32,5.30,0.8,,
 Apr-2006,4.51,5.40,1.5,,
 May-2006,4.63,5.50,1.2,,
 Jun-2006,4.64,5.50,0.8,,
 Jul-2006,4.64,5.50,0,,
 Aug-2006,4.63,5.50,0.7,,
 Sep-2006,4.54,5.50,0.9,,
 Oct-2006,4.61,5.40,0.3,,
 Nov-2006,4.55,5.50,0.7,,
 Dec-2006,4.63,5.50,1.6,,
